$DATA1 SOURCE='PrimeSim HSPICE' VERSION='R-2020.12-SP2 linux64' PARAM_COUNT=1
.TITLE '**testbench**'
 size             rising_delay     temper           alter#          
  3.330e-06        1.479e-10         25.0000        1               
  3.340e-06        1.490e-10         25.0000        1               
  3.350e-06        1.495e-10         25.0000        1               
  3.360e-06        1.485e-10         25.0000        1               
  3.370e-06        1.478e-10         25.0000        1               
  3.380e-06        1.517e-10         25.0000        1               
  3.390e-06        1.480e-10         25.0000        1               
  3.400e-06        1.499e-10         25.0000        1               
  3.410e-06        1.501e-10         25.0000        1               
  3.420e-06        1.507e-10         25.0000        1               
  3.430e-06        1.508e-10         25.0000        1               
  3.440e-06        1.505e-10         25.0000        1               
  3.450e-06        1.378e-10         25.0000        1               
  3.460e-06        1.504e-10         25.0000        1               
  3.470e-06        1.509e-10         25.0000        1               
  3.480e-06        1.513e-10         25.0000        1               
  3.490e-06        1.514e-10         25.0000        1               
  3.500e-06        1.517e-10         25.0000        1               
  3.510e-06        1.533e-10         25.0000        1               
  3.520e-06        1.509e-10         25.0000        1               
  3.530e-06        1.499e-10         25.0000        1               
  3.540e-06        1.520e-10         25.0000        1               
  3.550e-06        1.538e-10         25.0000        1               
  3.560e-06        1.506e-10         25.0000        1               
  3.570e-06        1.393e-10         25.0000        1               
  3.580e-06        1.397e-10         25.0000        1               
  3.590e-06        1.518e-10         25.0000        1               
  3.600e-06        1.400e-10         25.0000        1               
  3.610e-06        1.526e-10         25.0000        1               
  3.620e-06        1.532e-10         25.0000        1               
  3.630e-06        1.542e-10         25.0000        1               
  3.640e-06        1.406e-10         25.0000        1               
  3.650e-06        1.527e-10         25.0000        1               
  3.660e-06        1.411e-10         25.0000        1               
  3.670e-06        1.412e-10         25.0000        1               
  3.680e-06        1.414e-10         25.0000        1               
  3.690e-06        1.536e-10         25.0000        1               
  3.700e-06        1.548e-10         25.0000        1               
  3.710e-06        1.554e-10         25.0000        1               
  3.720e-06        1.422e-10         25.0000        1               
  3.730e-06        1.532e-10         25.0000        1               
  3.740e-06        1.425e-10         25.0000        1               
  3.750e-06        1.560e-10         25.0000        1               
  3.760e-06        1.427e-10         25.0000        1               
  3.770e-06        1.430e-10         25.0000        1               
  3.780e-06        1.558e-10         25.0000        1               
  3.790e-06        1.560e-10         25.0000        1               
  3.800e-06        1.571e-10         25.0000        1               
  3.810e-06        1.437e-10         25.0000        1               
  3.820e-06        1.438e-10         25.0000        1               
  3.830e-06        1.559e-10         25.0000        1               
  3.840e-06        1.580e-10         25.0000        1               
  3.850e-06        1.576e-10         25.0000        1               
  3.860e-06        1.445e-10         25.0000        1               
  3.870e-06        1.574e-10         25.0000        1               
  3.880e-06        1.447e-10         25.0000        1               
  3.890e-06        1.450e-10         25.0000        1               
  3.900e-06        1.450e-10         25.0000        1               
  3.910e-06        1.456e-10         25.0000        1               
  3.920e-06        1.589e-10         25.0000        1               
  3.930e-06        1.457e-10         25.0000        1               
  3.940e-06        1.593e-10         25.0000        1               
  3.950e-06        1.462e-10         25.0000        1               
  3.960e-06        1.595e-10         25.0000        1               
  3.970e-06        1.597e-10         25.0000        1               
  3.980e-06        1.463e-10         25.0000        1               
  3.990e-06        1.468e-10         25.0000        1               
  4.000e-06        1.467e-10         25.0000        1               
  4.010e-06        1.604e-10         25.0000        1               
  4.020e-06        1.473e-10         25.0000        1               
  4.030e-06        1.608e-10         25.0000        1               
  4.040e-06        1.477e-10         25.0000        1               
  4.050e-06        1.480e-10         25.0000        1               
  4.060e-06        1.480e-10         25.0000        1               
  4.070e-06        1.616e-10         25.0000        1               
  4.080e-06        1.484e-10         25.0000        1               
  4.090e-06        1.484e-10         25.0000        1               
  4.100e-06        1.484e-10         25.0000        1               
  4.110e-06        1.488e-10         25.0000        1               
  4.120e-06        1.625e-10         25.0000        1               
  4.130e-06        1.492e-10         25.0000        1               
  4.140e-06        1.492e-10         25.0000        1               
  4.150e-06        1.493e-10         25.0000        1               
  4.160e-06        1.497e-10         25.0000        1               
  4.170e-06        1.495e-10         25.0000        1               
  4.180e-06        1.619e-10         25.0000        1               
  4.190e-06        1.638e-10         25.0000        1               
  4.200e-06        1.501e-10         25.0000        1               
  4.210e-06        1.508e-10         25.0000        1               
  4.220e-06        1.508e-10         25.0000        1               
  4.230e-06        1.645e-10         25.0000        1               
  4.240e-06        1.510e-10         25.0000        1               
  4.250e-06        1.509e-10         25.0000        1               
  4.260e-06        1.515e-10         25.0000        1               
  4.270e-06        1.517e-10         25.0000        1               
  4.280e-06        1.518e-10         25.0000        1               
  4.290e-06        1.519e-10         25.0000        1               
  4.300e-06        1.521e-10         25.0000        1               
  4.310e-06        1.523e-10         25.0000        1               
  4.320e-06        1.524e-10         25.0000        1               
  4.330e-06        1.526e-10         25.0000        1               
  4.340e-06        1.528e-10         25.0000        1               
  4.350e-06        1.529e-10         25.0000        1               
  4.360e-06        1.531e-10         25.0000        1               
  4.370e-06        1.533e-10         25.0000        1               
  4.380e-06        1.534e-10         25.0000        1               
  4.390e-06        1.537e-10         25.0000        1               
  4.400e-06        1.538e-10         25.0000        1               
  4.410e-06        1.540e-10         25.0000        1               
  4.420e-06        1.542e-10         25.0000        1               
  4.430e-06        1.544e-10         25.0000        1               
  4.440e-06        1.545e-10         25.0000        1               
  4.450e-06        1.547e-10         25.0000        1               
  4.460e-06        1.549e-10         25.0000        1               
  4.470e-06        1.550e-10         25.0000        1               
  4.480e-06        1.551e-10         25.0000        1               
  4.490e-06        1.553e-10         25.0000        1               
  4.500e-06        1.554e-10         25.0000        1               
  4.510e-06        1.556e-10         25.0000        1               
  4.520e-06        1.557e-10         25.0000        1               
  4.530e-06        1.559e-10         25.0000        1               
  4.540e-06        1.560e-10         25.0000        1               
  4.550e-06        1.562e-10         25.0000        1               
  4.560e-06        1.563e-10         25.0000        1               
  4.570e-06        1.564e-10         25.0000        1               
  4.580e-06        1.565e-10         25.0000        1               
  4.590e-06        1.566e-10         25.0000        1               
  4.600e-06        1.567e-10         25.0000        1               
  4.610e-06        1.568e-10         25.0000        1               
  4.620e-06        1.568e-10         25.0000        1               
  4.630e-06        1.568e-10         25.0000        1               
  4.640e-06        1.573e-10         25.0000        1               
  4.650e-06        1.572e-10         25.0000        1               
  4.660e-06        1.573e-10         25.0000        1               
  4.670e-06        1.578e-10         25.0000        1               
  4.680e-06        1.579e-10         25.0000        1               
  4.690e-06        1.580e-10         25.0000        1               
  4.700e-06        1.581e-10         25.0000        1               
  4.710e-06        1.582e-10         25.0000        1               
  4.720e-06        1.584e-10         25.0000        1               
  4.730e-06        1.582e-10         25.0000        1               
  4.740e-06        1.584e-10         25.0000        1               
  4.750e-06        1.585e-10         25.0000        1               
  4.760e-06        1.585e-10         25.0000        1               
  4.770e-06        1.590e-10         25.0000        1               
  4.780e-06        1.591e-10         25.0000        1               
  4.790e-06        1.592e-10         25.0000        1               
  4.800e-06        1.593e-10         25.0000        1               
  4.810e-06        1.595e-10         25.0000        1               
  4.820e-06        1.596e-10         25.0000        1               
  4.830e-06        1.597e-10         25.0000        1               
  4.840e-06        1.599e-10         25.0000        1               
  4.850e-06        1.600e-10         25.0000        1               
  4.860e-06        1.601e-10         25.0000        1               
  4.870e-06        1.603e-10         25.0000        1               
  4.880e-06        1.604e-10         25.0000        1               
  4.890e-06        1.606e-10         25.0000        1               
  4.900e-06        1.603e-10         25.0000        1               
  4.910e-06        1.608e-10         25.0000        1               
  4.920e-06        1.610e-10         25.0000        1               
  4.930e-06        1.611e-10         25.0000        1               
  4.940e-06        1.613e-10         25.0000        1               
  4.950e-06        1.615e-10         25.0000        1               
  4.960e-06        1.616e-10         25.0000        1               
  4.970e-06        1.618e-10         25.0000        1               
  4.980e-06        1.619e-10         25.0000        1               
  4.990e-06        1.621e-10         25.0000        1               
  5.000e-06        1.623e-10         25.0000        1               
